"","County","SubCounty","AdminArea","Farming","ExoticCattle_Dairy","ExoticCattle_Beef","IndigenousCattle","Sheep","Goats","Camels","Donkeys","Pigs","IndigenousChicken","ExoticChicken_Layers","ExoticChicken_Broilers","Beehives","Rabbits","FishPonds","FishCages"
"110","KITUI","MATINYANI","SubCounty",10531,534,542,11003,2971,37254,12,4472,197,68803,1740,3074,1704,346,18,2
"111","KITUI","MIGWANI","SubCounty",17012,444,405,16496,5984,84366,10,8528,34,120700,7071,2062,7288,492,35,2
"112","KITUI","MUMONI","SubCounty",5646,180,409,8685,4521,46809,1,5049,33,34893,3916,642,7925,49,22,NA
"113","KITUI","MUTITU","SubCounty",9766,658,339,24691,5733,83434,888,10992,14,60829,1158,402,16110,18,117,9
"114","KITUI","MUTITU NORTH","SubCounty",4303,370,243,9642,695,31698,26,3676,101,27574,887,504,10682,19,6,NA
"115","KITUI","MUTOMO","SubCounty",19832,828,355,37729,10619,144507,3096,17202,103,131538,3797,1181,24969,89,46,15
"116","KITUI","MWINGI CENTRAL","SubCounty",19371,991,991,25837,7502,151894,50,16384,205,129315,5685,2569,25330,235,590,18
"117","KITUI","MWINGI EAST","SubCounty",15945,397,704,31306,3738,137970,651,17453,23,96615,6257,931,33522,48,97,18
"118","KITUI","NZAMBANI","SubCounty",9189,531,231,10000,1207,32263,NA,2689,75,58701,2681,1588,5964,245,19,1
"119","KITUI","THAGICU","SubCounty",2968,180,320,4865,6559,30140,2,2660,10,13004,566,553,3680,4,2,3
"120","KITUI","TSEIKURU","SubCounty",7353,245,245,13232,21868,78265,75,10405,19,42934,626,284,11861,11,75,9
"121","MACHAKOS","MACHAKOS","County",231341,30369,12656,319326,171525,624891,1473,24794,5517,1449665,186287,139584,31899,40577,3351,842
"122","MACHAKOS","ATHI RIVER","SubCounty",13071,4844,3598,31791,29396,42656,104,1262,2162,140150,79801,58098,1346,3248,1198,13
"123","MACHAKOS","KALAMA","SubCounty",11334,1094,673,14676,3847,28173,22,593,19,61907,2963,1672,766,1041,292,14
"124","MACHAKOS","KANGUNDO","SubCounty",23045,3946,651,17852,7342,26887,34,934,329,122924,8303,3303,1391,7409,39,2
"125","MACHAKOS","KATHIANI","SubCounty",24578,2851,642,18791,10910,26396,16,624,160,127892,8253,5778,826,4884,35,2
"126","MACHAKOS","MACHAKOS","SubCounty",26753,4346,1332,22092,10516,41994,71,910,434,165521,28288,29232,1432,5264,410,NA
"127","MACHAKOS","MASINGA","SubCounty",30328,1579,1098,56602,36375,143151,81,4102,360,199956,8668,2797,8008,3197,756,246
"128","MACHAKOS","MATUNGULU","SubCounty",29763,2500,957,40675,32753,42417,1037,368,828,160773,19153,22677,2039,8186,121,11
"129","MACHAKOS","MWALA","SubCounty",39928,5688,2451,65181,15198,143149,64,8683,644,280163,20803,7891,6294,4299,271,549
"130","MACHAKOS","YATTA","SubCounty",32541,3521,1254,51666,25188,130068,44,7318,581,190379,10055,8136,9797,3049,229,5
"131","MAKUENI","MAKUENI","County",193531,21517,8726,295560,133115,799638,1111,40311,1502,1397211,75556,48299,57594,16760,2243,644
"132","MAKUENI","KATHONZWENI","SubCounty",15666,1339,354,27176,10466,101320,54,9737,57,126816,2362,3145,8204,468,326,27
"133","MAKUENI","KIBWEZI","SubCounty",33820,1691,1207,52617,28534,194390,35,3906,191,224541,13270,9484,12901,1198,153,43
"134","MAKUENI","KILUNGU","SubCounty",12881,1980,477,10570,3698,20315,59,664,113,73682,4645,2302,2649,2585,28,12
"135","MAKUENI","MAKINDU","SubCounty",14334,955,760,19437,14813,86332,784,1435,73,100558,8040,5449,6870,635,90,3
"136","MAKUENI","MAKUENI","SubCounty",26021,3570,1301,39094,9528,73274,38,5608,360,210803,13965,8055,6190,3687,621,29
"137","MAKUENI","MBOONI EAST","SubCounty",21461,2552,1500,37190,8191,94290,27,9436,44,167543,9139,4684,6883,1392,66,10
"138","MAKUENI","MBOONI WEST","SubCounty",22069,3146,553,18565,6148,39418,9,878,32,132643,7553,4759,1950,2181,544,504
"139","MAKUENI","MUKAA","SubCounty",22133,3479,1504,48816,29102,86305,14,2318,504,167161,5459,2759,3764,2352,349,1
"140","MAKUENI","NZAUI","SubCounty",25146,2805,1070,42095,22635,103994,91,6329,128,193464,11123,7662,8183,2262,66,15
"141","NYANDARUA","NYANDARUA","County",140854,135895,16879,58589,277762,37009,NA,9458,4017,738187,78274,11591,8870,39833,499,22
"142","NYANDARUA","KINANGOP","SubCounty",23636,27098,2636,2956,39848,2216,NA,942,1035,86660,11654,1123,600,7483,28,3
"143","NYANDARUA","NYANDARUA SOUTH","SubCounty",20400,27133,3270,4911,40115,1195,NA,871,121,87859,10941,1563,1512,8331,32,1
"144","NYANDARUA","MIRANGINE","SubCounty",14488,18058,1984,3707,25613,2122,NA,1484,262,69895,4144,684,518,3450,33,7
"145","NYANDARUA","KIPIPIRI","SubCounty",21702,18323,3039,12469,47484,3982,NA,1274,541,112930,11164,2429,2422,5062,78,1
"146","NYANDARUA","NYANDARUA CENTRAL","SubCounty",16111,14016,2283,6222,35737,5530,NA,2064,537,104080,12010,1716,876,4094,73,1
"147","NYANDARUA","NYANDARUA WEST","SubCounty",21047,17342,1870,7804,39552,5996,NA,1280,619,129022,12565,1800,1052,5702,129,5
"148","NYANDARUA","NYANDARUA NORTH","SubCounty",23468,13923,1797,20520,49411,15968,NA,1543,902,147728,15785,2275,1890,5711,126,4
"149","NYANDARUA","ABERDARE NATIONAL PARK","SubCounty",2,2,NA,NA,2,NA,NA,NA,NA,13,11,1,NA,NA,NA,NA
"150","NYERI","NYERI","County",164229,92486,11501,60520,153728,107460,NA,772,15188,734889,150195,131985,12433,40982,6315,238
"151","NYERI","TETU","SubCounty",20387,13352,1563,3171,9077,10763,NA,54,2160,85424,18016,14823,1780,4929,577,66
"152","NYERI","KIENI EAST","SubCounty",23138,9364,1158,20148,48930,13504,NA,194,2085,130219,16555,11293,2181,8364,1574,54
"153","NYERI","KIENI WEST","SubCounty",21942,11916,1814,18288,42842,16684,NA,365,776,116173,13458,5952,2564,6379,524,12
"154","NYERI","MATHIRA EAST","SubCounty",20473,11026,1309,4384,9561,10112,NA,37,2753,76149,23010,16366,807,4565,182,1
"155","NYERI","MATHIRA WEST","SubCounty",15919,8692,762,4235,11372,9456,NA,49,2164,74203,12198,15055,1170,3234,241,69
"156","NYERI","NYERI SOUTH","SubCounty",21243,12042,1494,4114,16449,10569,NA,3,1443,67728,20035,8432,1166,4869,535,11
"157","NYERI","MUKURWE-INI","SubCounty",22973,16550,2036,2685,3519,24312,NA,8,1092,93410,15485,3549,1785,5039,1387,17
"158","NYERI","NYERI CENTRAL","SubCounty",18108,9539,1353,3467,11908,12060,NA,62,2715,91538,31438,56515,977,3603,1295,8
"159","NYERI","MT. KENYA FOREST","SubCounty",44,1,12,28,70,NA,NA,NA,NA,45,NA,NA,3,NA,NA,NA
"160","NYERI","ABERDARE FOREST","SubCounty",2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"161","KIRINYAGA","KIRINYAGA","County",139866,48488,12931,55022,26751,106844,NA,2404,15909,675656,100845,86098,11434,36742,8154,557
"162","KIRINYAGA","KIRINYAGA CENTRAL","SubCounty",27890,12884,3241,5203,3377,18457,NA,15,4166,136490,30359,41224,1273,8162,1864,11
"163","KIRINYAGA","KIRINYAGA EAST","SubCounty",36150,14849,4228,9603,5573,19659,NA,14,2624,160514,23396,10750,5417,8934,1858,486
"164","KIRINYAGA","KIRINYAGA WEST","SubCounty",27280,13111,3455,7511,5643,24860,NA,1023,4268,131900,19892,18114,2825,8240,1770,39
"165","KIRINYAGA","MWEA EAST","SubCounty",25729,4591,1328,16617,5977,27227,NA,509,2559,134438,14817,11815,1239,6787,870,13
"166","KIRINYAGA","MWEA WEST","SubCounty",22809,3052,678,16088,6181,16641,NA,843,2292,112301,12381,4195,680,4619,1792,8
"167","KIRINYAGA","MT. KENYA FOREST","SubCounty",8,1,1,NA,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,NA
"168","MURANG'A","MURANG'A","County",231400,130152,23311,56640,56475,173763,NA,914,48775,922054,531781,132311,11668,58710,3066,51
"169","MURANG'A","MURANG'A EAST","SubCounty",21474,9448,1353,9093,3353,27215,NA,23,2781,110755,19782,10394,895,5191,133,12
"170","MURANG'A","KANGEMA","SubCounty",20585,12366,2852,3287,6581,14671,NA,NA,1023,52273,18019,4765,907,5776,164,2
"171","MURANG'A","MATHIOYA","SubCounty",23395,15982,2431,3539,5176,16298,NA,6,1112,64899,14936,11670,1230,5388,95,3
"172","MURANG'A","KAHURO","SubCounty",23127,18558,3155,2737,7758,16090,NA,4,1691,85375,17101,16423,713,4256,46,3
"173","MURANG'A","MURANG'A SOUTH","SubCounty",37654,15589,2578,12461,7629,37371,NA,337,13085,203945,49721,17813,2769,13216,900,14
"174","MURANG'A","GATANGA","SubCounty",35429,16244,4453,12930,9719,31149,NA,345,10177,140592,126728,51281,3064,9894,1486,5
"175","MURANG'A","KIGUMO","SubCounty",31110,20055,3331,6113,10115,12146,NA,43,4490,112565,62028,9914,864,6262,71,6
"176","MURANG'A","KANDARA","SubCounty",38624,21910,3158,6479,6144,18823,NA,156,14416,151642,223466,10051,1226,8727,171,6
"177","MURANG'A","ABERDARE FOREST","SubCounty",2,NA,NA,1,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA
"178","KIAMBU","KIAMBU","County",214052,144311,20258,35825,118389,83597,NA,5307,84991,1156534,1831761,673366,7075,39567,5369,1767
"179","KIAMBU","GATUNDU NORTH","SubCounty",21532,13753,2294,1731,8725,8147,NA,44,2169,82400,389122,33258,1131,3824,34,7
"180","KIAMBU","GATUNDU SOUTH","SubCounty",25074,17476,2093,2150,12110,7492,NA,37,4194,96406,24198,50043,811,3541,1178,412
"181","KIAMBU","GITHUNGURI","SubCounty",29745,35756,2095,2784,6788,5446,NA,133,6108,110268,52693,74118,504,3571,1247,13
"182","KIAMBU","JUJA","SubCounty",15859,5084,2262,9417,13903,15602,NA,286,6265,157327,170584,90316,829,6390,1282,83
"183","KIAMBU","KABETE","SubCounty",15713,8676,951,1558,4607,2839,NA,155,15110,74366,268899,39241,77,2085,44,6
"184","KIAMBU","KIAMBAA","SubCounty",13339,6417,761,2362,4833,3739,NA,130,9283,70369,71086,58889,263,1958,81,2
"185","KIAMBU","KIAMBU","SubCounty",10505,8325,1322,962,4366,5415,NA,59,13734,78286,65959,79318,270,2396,894,26
"186","KIAMBU","KIKUYU","SubCounty",17693,7929,999,2042,10537,7162,NA,1452,9967,123633,203625,50145,603,2556,42,1
"187","KIAMBU","LARI","SubCounty",25602,22115,2525,3249,22837,2833,NA,1283,1693,87922,32229,6370,819,4862,193,13
"188","KIAMBU","LIMURU","SubCounty",19202,12251,1310,2163,18406,5539,NA,1470,5975,97696,260882,33079,820,2507,60,1062
"189","KIAMBU","RUIRU","SubCounty",8590,2737,2297,2314,5477,8034,NA,167,4746,87115,85158,76617,466,2769,199,131
"190","KIAMBU","THIKA EAST","SubCounty",4700,916,103,3642,3161,5724,NA,66,922,32477,33198,27051,293,966,22,NA
"191","KIAMBU","THIKA WEST","SubCounty",6498,2876,1246,1451,2639,5625,NA,25,4825,58269,174128,54921,189,2142,93,11
"192","TURKANA","TURKANA","County",61209,2206,2173,320425,1053756,1990929,261923,116806,992,43158,7663,2501,2045,234,1836,345
"193","TURKANA","KIBISH","SubCounty",3955,378,244,57377,120613,201686,3736,13340,1,1105,81,78,2,105,53,NA
"194","TURKANA","LOIMA","SubCounty",9743,349,337,18974,76347,216815,20950,9650,56,4780,546,579,153,42,127,21
"195","TURKANA","TURKANA CENTRAL","SubCounty",11229,307,321,3169,111624,169099,16437,6207,560,10040,1246,544,53,48,303,167
"196","TURKANA","TURKANA EAST","SubCounty",9618,310,344,123321,399496,685226,135617,47121,195,10924,760,641,1422,4,959,36
"197","TURKANA","TURKANA NORTH","SubCounty",6956,206,127,5133,52210,123728,8110,5749,80,2333,293,112,5,5,180,86
"198","TURKANA","TURKANA SOUTH","SubCounty",10257,279,123,15152,126223,333025,30519,10098,17,6560,4431,403,319,11,94,5
"199","TURKANA","TURKANA WEST","SubCounty",9451,377,677,97299,167243,261350,46554,24641,83,7416,306,144,91,19,120,30
"200","WEST POKOT","WEST POKOT","County",89828,49863,17632,349343,358293,764175,19389,8433,341,424179,23174,12350,91636,1003,5458,368
