"","County","SubCounty","AdminArea","Farming","Maize","Sorghum","Rice","Potatoes","Beans","Cassava","SweetPotatoes","Wheat","GreenGrams","Bananas","Cabbages","Tomatoes","Onions","GroundNuts","Millet","Watermelons","Kales","Sugarcane","Cotton"
"219","UASIN GISHU","KESSES","SubCounty",24309,22229,1332,NA,8846,12119,184,1411,754,NA,3275,3946,1350,5395,NA,1283,NA,9885,523,NA
"220","UASIN GISHU","MOIBEN","SubCounty",22915,20805,2128,NA,3635,12677,234,1456,3673,NA,2461,2085,1866,2205,NA,6591,NA,6999,515,NA
"221","UASIN GISHU","SOY","SubCounty",33352,30817,2259,NA,1764,15491,689,2845,1658,NA,5141,1744,2003,1870,NA,3382,NA,8758,646,NA
"222","UASIN GISHU","TURBO","SubCounty",26235,23059,1779,NA,1487,11904,1119,2533,431,NA,6027,1136,1518,2068,NA,1878,NA,7893,2064,NA
"223","ELGEYO/MARAKWET","ELGEYO/MARAKWET","County",74881,62633,9624,NA,27205,39126,2276,4123,1369,1744,12325,10555,4105,13775,1772,20353,548,22876,2021,NA
"224","ELGEYO/MARAKWET","KEIYO NORTH","SubCounty",15190,13527,1612,NA,3018,9650,199,791,648,223,2011,1223,934,1346,83,4971,87,3671,253,NA
"225","ELGEYO/MARAKWET","KEIYO SOUTH","SubCounty",21518,18562,2052,NA,8789,11723,682,1443,285,484,3660,4234,1045,5207,1061,4870,123,7646,305,NA
"226","ELGEYO/MARAKWET","MARAKWET EAST","SubCounty",15779,11779,3887,NA,4840,6388,1186,935,194,835,2875,1498,1160,2231,535,5590,225,3840,705,NA
"227","ELGEYO/MARAKWET","MARAKWET WEST","SubCounty",22394,18765,2073,NA,10558,11365,209,954,242,202,3779,3600,966,4991,93,4922,113,7719,758,NA
"228","NANDI","NANDI","County",148887,134408,14875,NA,18045,79216,17146,25641,1766,NA,68158,14764,10084,32316,1343,12788,NA,58494,22885,NA
"229","NANDI","CHESUMEI","SubCounty",26835,23735,1785,NA,3790,11413,1437,3521,261,NA,11721,2941,1297,4512,149,1722,NA,11747,3105,NA
"230","NANDI","NANDI CENTRAL","SubCounty",23951,20895,1667,NA,3236,11961,2319,3917,217,NA,11458,2304,1233,4997,186,1517,NA,10053,3223,NA
"231","NANDI","NANDI EAST","SubCounty",16777,14873,1330,NA,3121,9441,823,1860,293,NA,6017,2296,1482,4761,86,1030,NA,7044,967,NA
